plotfile,time_s,time_us,thrust_N
plt00000,0.0,0.0,0.0
plt01000,9.990999999999804e-08,0.09990999999999804,2.0624485265116622e-34
plt02000,1.99910000000003e-07,0.199910000000003,2.0624485265116622e-34
plt03000,2.999100000000105e-07,0.2999100000000105,2.0624485265116622e-34
plt04000,3.9991000000001804e-07,0.39991000000001803,2.0624485265116622e-34
plt05000,4.999100000000256e-07,0.49991000000002556,2.0624485265116622e-34
plt06000,5.999100000000331e-07,0.599910000000033,2.0624485265116622e-34
plt07000,6.999100000000406e-07,0.6999100000000406,2.0624485265116622e-34
plt08000,7.999100000000481e-07,0.7999100000000481,2.0624485265116622e-34
plt09000,8.999100000000556e-07,0.8999100000000556,2.062448526511662e-34
plt10000,9.999100000000631e-07,0.9999100000000631,2.062448526511662e-34
plt11000,1.0999100000000706e-06,1.0999100000000706,2.3792741412526613e-34
plt12000,1.1999100000000781e-06,1.1999100000000782,3.096550663499735e-34
plt13000,1.2999100000000857e-06,1.2999100000000856,3.096550663499735e-34
plt14000,1.3999100000000932e-06,1.3999100000000932,3.096550663499735e-34
plt15000,1.4999100000001007e-06,1.4999100000001007,3.096550663499735e-34
plt16000,1.5999100000001082e-06,1.5999100000001083,3.096550663499735e-34
plt17000,1.6999100000001157e-06,1.6999100000001157,6.622636784463591e-14
plt18000,1.7999100000001232e-06,1.7999100000001231,28.236526207351716
plt19000,1.8999100000001307e-06,1.8999100000001308,74.28550032240506
plt20000,1.9999099999999424e-06,1.9999099999999423,123.32372923786856
plt21000,2.099909999999738e-06,2.099909999999738,175.46802298231034
plt22000,2.199909999999534e-06,2.1999099999995337,229.24716358723353
plt23000,2.2999099999993296e-06,2.2999099999993295,282.7971063604743
plt24000,2.3999099999991254e-06,2.3999099999991254,334.98980692103447
plt25000,2.499909999998921e-06,2.499909999998921,370.0020402160606
plt26000,2.599909999998717e-06,2.599909999998717,336.27494593192733
plt27000,2.6999099999985127e-06,2.6999099999985128,296.9863615497529
plt27001,2.7e-06,2.7,296.9516587014158
