plotfile,time_s,time_us,thrust_N
plt00000,0.0,0.0,0.0
plt01000,9.990999999999804e-08,0.09990999999999804,1.8753225295380571e-28
plt02000,1.99910000000003e-07,0.199910000000003,3.7335286598834343e-28
plt03000,2.999100000000105e-07,0.2999100000000105,6.050181644247762e-28
plt04000,3.9991000000001804e-07,0.39991000000001803,9.164324417094695e-28
plt05000,4.999100000000256e-07,0.49991000000002556,1.2714118405280912e-27
plt06000,5.999100000000331e-07,0.599910000000033,1.5978058428408067e-27
plt07000,6.999100000000406e-07,0.6999100000000406,2.1874419038844575e-27
plt08000,7.999100000000481e-07,0.7999100000000481,2.670468446297662e-27
plt09000,8.999100000000556e-07,0.8999100000000556,3.285746096599243e-27
plt10000,9.999100000000631e-07,0.9999100000000631,3.882685663729071e-27
plt11000,1.0999100000000706e-06,1.0999100000000706,4.206140287073344e-27
plt12000,1.1999100000000781e-06,1.1999100000000782,4.9338525324352455e-27
plt13000,1.2999100000000857e-06,1.2999100000000856,5.636634124373534e-27
plt14000,1.3999100000000932e-06,1.3999100000000932,6.1389374018554765e-27
plt15000,1.4999100000001007e-06,1.4999100000001007,7.301164520657422e-27
plt16000,1.5999100000001082e-06,1.5999100000001083,7.832595052797989e-27
plt17000,1.6999100000001157e-06,1.6999100000001157,8.875805260135479e-27
plt18000,1.7999100000001232e-06,1.7999100000001231,9.350146191839398e-27
plt19000,1.8999100000001307e-06,1.8999100000001308,91.63462320290759
plt20000,1.9999099999999424e-06,1.9999099999999423,194.91160122425555
plt21000,2.099909999999738e-06,2.099909999999738,283.06169778276586
plt22000,2.199909999999534e-06,2.1999099999995337,370.67139331817134
plt23000,2.2999099999993296e-06,2.2999099999993295,446.95904392590285
plt24000,2.3999099999991254e-06,2.3999099999991254,512.1394692661144
plt25000,2.499909999998921e-06,2.499909999998921,494.3242427780395
plt26000,2.599909999998717e-06,2.599909999998717,382.97866772734716
plt27000,2.6999099999985127e-06,2.6999099999985128,328.63111166365474
plt28000,2.7999099999983084e-06,2.7999099999983086,297.7871531952637
plt29000,2.899909999998104e-06,2.899909999998104,278.5743360572728
plt30000,2.9999099999979e-06,2.9999099999978998,280.0227307591331
plt31000,3.0999099999976957e-06,3.0999099999976956,278.57102058371345
plt32000,3.1999099999974914e-06,3.1999099999974914,249.07881612884816
plt33000,3.299909999997287e-06,3.299909999997287,224.91833408752163
plt34000,3.399909999997083e-06,3.399909999997083,211.17572622835812
plt35000,3.4999099999968787e-06,3.499909999996879,192.6863778684896
plt36000,3.5999099999966744e-06,3.5999099999966746,188.87702730502474
plt37000,3.69990999999647e-06,3.6999099999964704,172.857630407239
plt38000,3.799909999996266e-06,3.7999099999962658,151.77132889650522
plt39000,3.8999099999964225e-06,3.8999099999964226,141.54180430230213
plt40000,3.999909999996642e-06,3.9999099999966417,142.81083566836747
plt40001,4e-06,4.0,142.8125142360557
